date,valence,energy,danceability,tempo
19-Jan,0.467,0.629,0.714,0.558
19-Feb,0.451,0.609,0.714,0.512
19-Mar,0.475,0.618,0.716,0.517
19-Apr,0.486,0.603,0.71,0.602
19-May,0.501,0.63,0.707,0.613
19-Jun,0.516,0.629,0.722,0.646
19-Jul,0.539,0.633,0.715,0.552
19-Aug,0.535,0.618,0.71,0.617
19-Sep,0.51,0.632,0.703,0.659
19-Oct,0.498,0.61,0.679,0.515
19-Nov,0.508,0.612,0.695,0.587
19-Dec,0.552,0.572,0.624,0.6
20-Jan,0.495,0.586,0.712,0.554
20-Feb,0.492,0.599,0.696,0.521
20-Mar,0.5,0.6,0.695,0.578
20-Apr,0.508,0.612,0.718,0.626
20-May,0.539,0.618,0.73,0.652
20-Jun,0.552,0.622,0.727,0.692
20-Jul,0.526,0.607,0.704,0.648
20-Aug,0.526,0.631,0.711,0.698
20-Sep,0.541,0.635,0.715,0.693
20-Oct,0.534,0.623,0.7,0.697
20-Nov,0.546,0.619,0.683,0.732
20-Dec,0.569,0.595,0.673,0.749
21-Jan,0.515,0.609,0.701,0.594
21-Feb,0.518,0.617,0.705,0.52
21-Mar,0.503,0.624,0.692,0.486
21-Apr,0.515,0.62,0.697,0.56
21-May,0.493,0.612,0.674,0.519
21-Jun,0.533,0.634,0.679,0.565
21-Jul,0.572,0.669,0.703,0.631
21-Aug,0.553,0.659,0.69,0.508
21-Sep,0.533,0.65,0.684,0.676
21-Oct,0.505,0.648,0.667,0.813
21-Nov,0.496,0.626,0.646,0.87
21-Dec,0.57,0.609,0.609,0.808
22-Jan,0.513,0.641,0.665,0.698
22-Feb,0.505,0.666,0.66,0.722
22-Mar,0.55,0.661,0.678,0.694
22-Apr,0.513,0.664,0.674,0.762
22-May,0.506,0.663,0.68,0.716
22-Jun,0.506,0.672,0.695,0.717
22-Jul,0.496,0.661,0.68,0.685
22-Aug,0.517,0.665,0.684,0.689
22-Sep,0.509,0.666,0.672,0.808
22-Oct,0.436,0.619,0.66,0.719
22-Nov,0.483,0.635,0.574,0.506
22-Dec,0.503,0.578,0.632,0.784
