date,valence,energy,danceability,tempo,,,,,,,,tempo,range,9.61,25,,valence,energy,danceability,tempo
Jan-19,0.467,0.629,0.714,0.558,0.186264308,0.79152,0.186264308,-114.4424,-99.4424,,,118.94,max,126.76,,,0.467,0.629,0.714,118.94
Feb-19,0.451,0.609,0.714,0.512,0.066597294,0.78232,,-114.4884,-99.4884,-6.499,,117.79,min,117.15,105,,0.451,0.609,0.714,117.79
Mar-19,0.475,0.618,0.716,0.517,0.081165453,0.78344,,-114.4828,-99.4828,-6.499,,117.93,,,,,0.475,0.618,0.716,117.93
Apr-19,0.486,0.603,0.71,0.602,0.301768991,0.8004,,-114.398,-99.3980,-6.494,,120.05,,,,,0.486,0.603,0.71,120.05
May-19,0.501,0.63,0.707,0.613,0.329864724,0.80256,,-114.3872,-99.3872,-6.493,,120.32,,,,,0.501,0.63,0.707,120.32
Jun-19,0.516,0.629,0.722,0.646,0.417273673,0.80928,,-114.3536,-99.3536,-6.491,,121.16,,,,,0.516,0.629,0.722,121.16
Jul-19,0.539,0.633,0.715,0.552,0.17169615,0.7904,,-114.448,-99.4480,-6.497,,118.8,,,,,0.539,0.633,0.715,118.8
Aug-19,0.535,0.618,0.71,0.617,0.340270552,0.80336,,-114.3832,-99.3832,-6.493,,120.42,,,,,0.535,0.618,0.71,120.42
Sep-19,0.51,0.632,0.703,0.659,0.449531738,0.81176,,-114.3412,-99.3412,-6.491,,121.47,,,,,0.51,0.632,0.703,121.47
Oct-19,0.498,0.61,0.679,0.515,0.074921956,0.78296,,-114.4852,-99.4852,-6.499,,117.87,,,,,0.498,0.61,0.679,117.87
Nov-19,0.508,0.612,0.695,0.587,0.262226847,0.79736,,-114.4132,-99.4132,-6.495,,119.67,,,,,0.508,0.612,0.695,119.67
Dec-19,0.552,0.572,0.624,0.600,0.296566077,0.8,,-114.4,-99.4000,-6.494,,120,,,,,0.552,0.572,0.624,120
Jan-20,0.495,0.586,0.712,0.554,0.176899063,0.7908,,-114.446,-99.4460,-6.497,,118.85,,,,,0.495,0.586,0.712,118.85
Feb-20,0.492,0.599,0.696,0.521,0.09157128,0.78424,,-114.4788,-99.4788,-6.499,,118.03,,,,,0.492,0.599,0.696,118.03
Mar-20,0.5,0.6,0.695,0.578,0.238293444,0.79552,,-114.4224,-99.4224,-6.495,,119.44,,,,,0.5,0.6,0.695,119.44
Apr-20,0.508,0.612,0.718,0.626,0.363163371,0.80512,,-114.3744,-99.3744,-6.493,,120.64,,,,,0.508,0.612,0.718,120.64
May-20,0.539,0.618,0.73,0.652,0.432882414,0.81048,,-114.3476,-99.3476,-6.491,,121.31,,,,,0.539,0.618,0.73,121.31
Jun-20,0.552,0.622,0.727,0.692,0.535900104,0.8184,,-114.308,-99.3080,-6.489,,122.3,,,,,0.552,0.622,0.727,122.3
Jul-20,0.526,0.607,0.704,0.648,0.420395421,0.80952,,-114.3524,-99.3524,-6.491,,121.19,,,,,0.526,0.607,0.704,121.19
Aug-20,0.526,0.631,0.711,0.698,0.552549428,0.81968,,-114.3016,-99.3016,-6.488,,122.46,,,,,0.526,0.631,0.711,122.46
Sep-20,0.541,0.635,0.715,0.693,0.53798127,0.81856,,-114.3072,-99.3072,-6.489,,122.32,,,,,0.541,0.635,0.715,122.32
Oct-20,0.534,0.623,0.7,0.697,0.54942768,0.81944,,-114.3028,-99.3028,-6.488,,122.43,,,,,0.534,0.623,0.7,122.43
Nov-20,0.546,0.619,0.683,0.732,0.638917794,0.82632,,-114.2684,-99.2684,-6.486,,123.29,,,,,0.546,0.619,0.683,123.29
Dec-20,0.569,0.595,0.673,0.749,0.684703434,0.82984,,-114.2508,-99.2508,-6.485,,123.73,,,,,0.569,0.595,0.673,123.73
Jan-21,0.515,0.609,0.701,0.594,0.281997919,0.79888,,-114.4056,-99.4056,-6.494,,119.86,,,,,0.515,0.609,0.701,119.86
Feb-21,0.518,0.617,0.705,0.520,0.087408949,0.78392,,-114.4804,-99.4804,-6.499,,117.99,,,,,0.518,0.617,0.705,117.99
Mar-21,0.503,0.624,0.692,0.486,0,0.7772,,-114.514,-99.5140,-6.501,,117.15,,,,,0.503,0.624,0.692,117.15
Apr-21,0.515,0.62,0.697,0.560,0.191467222,0.79192,,-114.4404,-99.4404,-6.496,,118.99,,,,,0.515,0.62,0.697,118.99
May-21,0.493,0.612,0.674,0.519,0.086368366,0.78384,,-114.4808,-99.4808,-6.499,,117.98,,,,,0.493,0.612,0.674,117.98
Jun-21,0.533,0.634,0.679,0.565,0.20603538,0.79304,,-114.4348,-99.4348,-6.496,,119.13,,,,,0.533,0.634,0.679,119.13
Jul-21,0.572,0.669,0.703,0.631,0.376690947,0.80616,,-114.3692,-99.3692,-6.492,,120.77,,,,,0.572,0.669,0.703,120.77
Aug-21,0.553,0.659,0.69,0.508,0.056191467,0.78152,,-114.4924,-99.4924,-6.500,,117.69,,,,,0.553,0.659,0.69,117.69
Sep-21,0.533,0.65,0.684,0.676,0.494276795,0.8152,,-114.324,-99.3240,-6.490,,121.9,,,,,0.533,0.65,0.684,121.9
Oct-21,0.505,0.648,0.667,0.813,0.850156087,0.84256,,-114.1872,-99.1872,-6.482,,125.32,,,,,0.505,0.648,0.667,125.32
Nov-21,0.496,0.626,0.646,0.870,1,0.85408,,-114.1296,-99.1296,-6.478,,126.76,,,,,0.496,0.626,0.646,126.76
Dec-21,0.57,0.609,0.609,0.808,0.837669095,0.8416,,-114.192,-99.1920,-6.482,,125.2,,,,,0.57,0.609,0.609,125.2
Jan-22,0.513,0.641,0.665,0.698,0.551508845,0.8196,,-114.302,-99.3020,-6.488,,122.45,,,,,0.513,0.641,0.665,122.45
Feb-22,0.505,0.666,0.66,0.722,0.614984391,0.82448,,-114.2776,-99.2776,-6.487,,123.06,,,,,0.505,0.666,0.66,123.06
Mar-22,0.55,0.661,0.678,0.694,0.541103018,0.8188,,-114.306,-99.3060,-6.489,,122.35,,,,,0.55,0.661,0.678,122.35
Apr-22,0.513,0.664,0.674,0.762,0.716961498,0.83232,,-114.2384,-99.2384,-6.485,,124.04,,,,,0.513,0.664,0.674,124.04
May-22,0.506,0.663,0.68,0.716,0.597294485,0.82312,,-114.2844,-99.2844,-6.487,,122.89,,,,,0.506,0.663,0.68,122.89
Jun-22,0.506,0.672,0.695,0.717,0.601456816,0.82344,,-114.2828,-99.2828,-6.487,,122.93,,,,,0.506,0.672,0.695,122.93
Jul-22,0.496,0.661,0.68,0.685,0.518210198,0.81704,,-114.3148,-99.3148,-6.489,,122.13,,,,,0.496,0.661,0.68,122.13
Aug-22,0.517,0.665,0.684,0.689,0.528616025,0.81784,,-114.3108,-99.3108,-6.489,,122.23,,,,,0.517,0.665,0.684,122.23
Sep-22,0.509,0.666,0.672,0.808,0.837669095,0.8416,,-114.192,-99.1920,-6.482,,125.2,,,,,0.509,0.666,0.672,125.2
Oct-22,0.436,0.619,0.66,0.719,0.605619147,0.82376,,-114.2812,-99.2812,-6.487,,122.97,,,,,0.436,0.619,0.66,122.97
Nov-22,0.483,0.635,0.574,0.506,0.053069719,0.78128,,-114.4936,-99.4936,-6.500,,117.66,,,,,0.483,0.635,0.574,117.66
Dec-22,0.503,0.578,0.632,0.784,0.774193548,0.83672,,-114.2164,-99.2164,-6.483,,124.59,,,,,0.503,0.578,0.632,124.59
