date,value,,,
Jan-18,0.495,,,
Feb-18,0.498,,,
Mar-18,0.502,,,
Apr-18,0.507,,,
May-18,0.512,,,
Jun-18,0.502,,,
Jul-18,0.504,,,
Aug-18,0.498,,,
Sep-18,0.5,,,
Oct-18,0.499,,,
Nov-18,0.492,,,
Dec-18,0.482,,,
Jan-19,0.496,,,
Feb-19,0.489,,,
Mar-19,0.498,,,
Apr-19,0.494,,,
May-19,0.5,,,
Jun-19,0.508,,,
Jul-19,0.513,,,
Aug-19,0.502,,,
Sep-19,0.499,,,
Oct-19,0.49,,,
Nov-19,0.494,,,
Dec-19,0.481,,,
Jan-20,0.488,,,
Feb-20,0.486,,,
Mar-20,0.49,,,
Apr-20,0.502,,,
May-20,0.513,,,
Jun-20,0.522,,,
Jul-20,0.501,,,
Aug-20,0.509,,,
Sep-20,0.517,,,
Oct-20,0.506,,,
Nov-20,0.505,,,
Dec-20,0.503,,,
Jan-21,0.497,,,
Feb-21,0.504,,,
Mar-21,0.499,,,
Apr-21,0.498,,,
May-21,0.488,,,
Jun-21,0.502,,,
Jul-21,0.526,,,
Aug-21,0.517,,,
Sep-21,0.505,,,
Oct-21,0.494,,,
Nov-21,0.482,,,
Dec-21,0.494,,,
Jan-22,0.497,,,
Feb-22,0.5,,,
Mar-22,0.513,,,
Apr-22,0.504,,,
May-22,0.505,,,
Jun-22,0.508,,,
Jul-22,0.504,,,
Aug-22,0.512,,,
Sep-22,0.507,,,
Oct-22,0.47,,,
Nov-22,0.469,,,
Dec-22,0.475,,,
Jan-23,0.489,,,
Feb-23,0.491,,,
