date, value 
19-Jan,0.467
19-Feb,0.451
19-Mar,0.475
19-Apr,0.486
19-May,0.501
19-Jun,0.516
19-Jul,0.539
19-Aug,0.535
19-Sep,0.51
19-Oct,0.498
19-Nov,0.508
19-Dec,0.552
20-Jan,0.495
20-Feb,0.492
20-Mar,0.5
20-Apr,0.508
20-May,0.539
20-Jun,0.552
20-Jul,0.526
20-Aug,0.526
20-Sep,0.541
20-Oct,0.534
20-Nov,0.546
20-Dec,0.569
21-Jan,0.515
21-Feb,0.518
21-Mar,0.503
21-Apr,0.515
21-May,0.493
21-Jun,0.533
21-Jul,0.572
21-Aug,0.553
21-Sep,0.533
21-Oct,0.505
21-Nov,0.496
21-Dec,0.57
22-Jan,0.513
22-Feb,0.505
22-Mar,0.55
22-Apr,0.513
22-May,0.506
22-Jun,0.506
22-Jul,0.496
22-Aug,0.517
22-Sep,0.509
22-Oct,0.436
22-Nov,0.483
22-Dec,0.503
